id,closing_date,label,amount,bank_amount,bank_status,bank_matched_at
b46ddd2d-81bd-4907-9ec5-c9bab68751e3,2026-09-07,POS MPS,885.18,876.27,accreditato,2026-09-09T06:05:00.048743+00:00
94b05829-fb63-4cd5-98ca-7e10b0bca283,2026-09-07,POS MPS,613.65,609.57,accreditato,2026-09-09T06:05:00.048743+00:00
63b3af32-7d91-4e8a-8d43-1dad4056fa44,2026-09-07,POS MPS,580.1,576.12,accreditato,2026-09-09T06:05:00.048743+00:00
b76c4efb-1bf4-4917-8a19-f9be69cb516e,2026-09-07,POS MPS,115.1,114.26,accreditato,2026-09-09T06:05:00.048743+00:00
6251c3b5-073a-4796-bad6-2f60172f39f9,2026-09-07,POS MPS,553.85,547.71,accreditato,2026-09-09T06:05:00.048743+00:00
25b9d151-74da-4793-8ef2-3e4cc2ad4e7c,2026-09-07,POS MPS,0,,in_attesa,
bf3b4e83-d42f-4f73-8380-d4e500e6797b,2026-09-07,POS MPS,431.89,428.83,accreditato,2026-09-09T06:05:00.048743+00:00
aff2eacb-4d8a-40ec-8a08-e8a4239666c4,2026-09-07,POS MPS Amex,0,,in_attesa,
b75d3872-1df4-453c-950e-d9bcd79c98a0,2026-09-07,POS MPS Amex,0,,in_attesa,
843b8f9f-a16d-42fb-b9d9-02f5b517954b,2026-09-07,POS MPS Amex,0,609.57,differenza,2026-09-09T06:05:00.048743+00:00
fe0d1891-081f-46e6-b00f-24c8ee694fba,2026-09-07,POS MPS Amex,0,,in_attesa,
afc8d2a9-9960-46c4-a97a-fc985fc1942a,2026-09-07,POS MPS Amex,0,114.26,differenza,2026-09-09T06:05:00.048743+00:00
96edcd1e-f9d7-4678-a2b7-b7b576e8ec9f,2026-09-07,POS MPS Amex,0,876.27,differenza,2026-09-09T06:05:00.048743+00:00
8b5dc346-3081-4786-9c17-de4151e03db0,2026-09-07,POS MPS Amex,0,428.83,differenza,2026-09-09T06:05:00.048743+00:00
27c9f684-1582-4c58-a438-e86faeb2e7b5,2026-09-08,Bonifico,0,,in_attesa,
12281431-f8e9-4874-9698-9a7d6a801f1b,2026-09-08,Bonifico,0,,in_attesa,
03b379de-406f-42cc-8075-b3697ca6054b,2026-09-08,Bonifico,0,,in_attesa,
8d691ec1-e2e2-4110-bbdd-8a6d4e84ee45,2026-09-08,Bonifico,0,,in_attesa,
ab4bd1c5-eb15-4917-a018-d5a7fbefb8d0,2026-09-08,Bonifico,0,,in_attesa,
884642f7-a7d7-4f9b-a4c1-ac1604c47d2e,2026-09-08,Bonifico,0,,in_attesa,
9339356a-ca53-41e3-8af6-8b7ca9bd010a,2026-09-08,Bonifico,0,,in_attesa,
53108e17-eb63-46a6-85a2-bea21a54197b,2026-09-08,Contanti,8.1,,in_attesa,
5f67491c-49ea-422f-ab13-8bb838361d16,2026-09-08,Contanti,57.9,,in_attesa,
1a6dccf9-b1b4-4a55-bfb6-6b03119a8912,2026-09-08,Contanti,252.3,,in_attesa,
96a10a64-01fa-4a22-be71-82e57b18ec15,2026-09-08,Contanti,0,,in_attesa,
bdf5e165-e4b3-4065-ae41-93a8ab0eadd4,2026-09-08,Contanti,176.6,,in_attesa,
b037d081-8dd0-4b37-94f0-c8b8d6b21f88,2026-09-08,Contanti,23.55,,in_attesa,
